PUCNUMBER,NOMBRE,CLASE,GRUPO,CUENTA,SUBCUENTA,CLASE_NOMBRE,GRUPO_NOMBRE,CUENTA_NOMBRE,SUBCUENTA_NOMBRE
1,ACTIVO,1,,,,ACTIVO,,,
5,GASTOS,5,5,,,GASTOS,,,
7,COSTOS DE PRODUCCIÓN O DE OPERACIÓN,7,7,,,COSTOS DE PRODUCCIÓN O DE OPERACIÓN,,,
11,DISPONIBLE,1,11,,,ACTIVO,DISPONIBLE,,
12,INVERSIONES,1,12,12,12,ACTIVO,INVERSIONES,,
13,DEUDORES,1,13,13,13,ACTIVO,DEUDORES,,
14,INVENTARIOS,1,14,14,14,ACTIVO,INVENTARIOS,,
15,PROPIEDADES PLANTA Y EQUIPO,1,15,15,15,ACTIVO,PROPIEDADES PLANTA Y EQUIPO,,
16,INTANGIBLES,1,16,16,16,ACTIVO,INTANGIBLES,,
17,DIFERIDOS,1,17,17,17,ACTIVO,DIFERIDOS,,
18,OTROS ACTIVOS,1,18,18,18,ACTIVO,OTROS ACTIVOS,,
19,VALORIZACIONES,1,19,19,19,ACTIVO,VALORIZACIONES,,
51,OPERACIONALES DE ADMINISTRACIÓN,5,51,,,GASTOS,OPERACIONALES DE ADMINISTRACIÓN,,
52,OPERACIONALES DE VENTAS,5,52,,,GASTOS,OPERACIONALES DE VENTAS,,
53,NO OPERACIONALES,5,53,,,GASTOS,NO OPERACIONALES,,
54,IMPUESTO DE RENTA Y COMPLEMENTARIOS,5,54,,,GASTOS,IMPUESTO DE RENTA Y COMPLEMENTARIOS,,
59,GANANCIAS Y PÉRDIDAS,5,59,,,GASTOS,GANANCIAS Y PÉRDIDAS,,
71,MATERIA PRIMA,7,71,,,COSTOS DE PRODUCCIÓN O DE OPERACIÓN,MATERIA PRIMA,,
72,MANO DE OBRA DIRECTA,7,72,,,COSTOS DE PRODUCCIÓN O DE OPERACIÓN,MANO DE OBRA DIRECTA,,
73,COSTOS INDIRECTOS,7,73,,,COSTOS DE PRODUCCIÓN O DE OPERACIÓN,COSTOS INDIRECTOS,,
74,CONTRATOS DE SERVICIOS,7,74,,,COSTOS DE PRODUCCIÓN O DE OPERACIÓN,CONTRATOS DE SERVICIOS,,
1105,CAJA,1,11,1105,,ACTIVO,DISPONIBLE,CAJA,
1110,BANCOS,1,11,1110,1110,ACTIVO,DISPONIBLE,BANCOS,
1115,REMESAS EN TRANSITO,1,11,1115,1115,ACTIVO,DISPONIBLE,REMESAS EN TRANSITO,
1120,CUENTAS DE AHORRO,1,11,1120,1120,ACTIVO,DISPONIBLE,CUENTAS DE AHORRO,
1125,FONDOS,1,11,1125,1125,ACTIVO,DISPONIBLE,FONDOS,
1205,ACCIONES,1,12,1205,1205,ACTIVO,INVERSIONES,ACCIONES,
1210,CUOTAS O PARTES DE INTERES SOCIAL,1,12,1210,1210,ACTIVO,INVERSIONES,CUOTAS O PARTES DE INTERES SOCIAL,
1215,BONOS,1,12,1215,1215,ACTIVO,INVERSIONES,BONOS,
1220,CEDULAS,1,12,1220,1220,ACTIVO,INVERSIONES,CEDULAS,
1225,CERTIFICADOS,1,12,1225,1225,ACTIVO,INVERSIONES,CERTIFICADOS,
1230,PAPELES COMERCIALES,1,12,1230,1230,ACTIVO,INVERSIONES,PAPELES COMERCIALES,
1235,TITULOS,1,12,1235,1235,ACTIVO,INVERSIONES,TITULOS,
1240,ACEPTACIONES BANCARIAS O FINANCIERAS,1,12,1240,1240,ACTIVO,INVERSIONES,ACEPTACIONES BANCARIAS O FINANCIERAS,
1245,DERECHOS FIDUCIARIOS,1,12,1245,1245,ACTIVO,INVERSIONES,DERECHOS FIDUCIARIOS,
1250,DERECHOS DE RECOMPRA DE INVERSIONES NEGOCIADAS (REPOS),1,12,1250,1250,ACTIVO,INVERSIONES,DERECHOS DE RECOMPRA DE INVERSIONES NEGOCIADAS (REPOS),
1255,OBLIGATORIAS,1,12,1255,1255,ACTIVO,INVERSIONES,OBLIGATORIAS,
1260,CUENTAS EN PARTICIPACION,1,12,1260,1260,ACTIVO,INVERSIONES,CUENTAS EN PARTICIPACION,
1295,OTRAS INVERSIONES,1,12,1295,1295,ACTIVO,INVERSIONES,OTRAS INVERSIONES,
1299,PROVISIONES,1,12,1299,1299,ACTIVO,INVERSIONES,PROVISIONES,
1305,CLIENTES,1,13,1305,1305,ACTIVO,DEUDORES,CLIENTES,
1310,CUENTAS CORRIENTES COMERCIALES,1,13,1310,1310,ACTIVO,DEUDORES,CUENTAS CORRIENTES COMERCIALES,
1315,CUENTAS POR COBRAR A CASA MATRIZ,1,13,1315,1315,ACTIVO,DEUDORES,CUENTAS POR COBRAR A CASA MATRIZ,
1320,CUENTAS POR COBRAR A VINCULADOS ECONOMICOS,1,13,1320,1320,ACTIVO,DEUDORES,CUENTAS POR COBRAR A VINCULADOS ECONOMICOS,
1325,CUENTAS POR COBRAR A SOCIOS Y ACCIONISTAS,1,13,1325,1325,ACTIVO,DEUDORES,CUENTAS POR COBRAR A SOCIOS Y ACCIONISTAS,
1328,APORTES POR COBRAR,1,13,1328,1328,ACTIVO,DEUDORES,APORTES POR COBRAR,
1330,ANTICIPOS Y AVANCES,1,13,1330,1330,ACTIVO,DEUDORES,ANTICIPOS Y AVANCES,
1332,CUENTAS DE OPERACION CONJUNTA,1,13,1332,1332,ACTIVO,DEUDORES,CUENTAS DE OPERACION CONJUNTA,
1335,DEPOSITOS,1,13,1335,1335,ACTIVO,DEUDORES,DEPOSITOS,
